string_id	fasta_id
4932.YBR012W-A	sp|Q99209|YP13A_YEAST
4932.YDR098C-A	sp|Q99209|YP13A_YEAST
4932.YPR158W-A	sp|Q99209|YP13A_YEAST
4932.YBR012W-B	sp|Q12193|YB12B_YEAST
4932.YBR014C	sp|P38068|GLRX7_YEAST
4932.YBR015C	sp|P38069|MNN2_YEAST
4932.YBR016W	sp|P38216|YBM6_YEAST
4932.YBR017C	sp|P38217|IMB2_YEAST
4932.YBR018C	sp|P08431|GAL7_YEAST
4932.YBR019C	sp|P04397|GAL10_YEAST
4932.YBR020W	sp|P04385|GAL1_YEAST
4932.YBR022W	sp|P38218|POA1_YEAST
4932.YBR023C	sp|P29465|CHS3_YEAST
4932.YBR024W	sp|P38072|SCO2_YEAST
4932.YBR025C	sp|P38219|OLA1_YEAST
4932.YBR026C	sp|P38071|ETR1_YEAST
4932.YBR029C	sp|P38221|CDS1_YEAST
4932.YBR030W	sp|P38222|RKM3_YEAST
4932.YBR031W	sp|P49626|RL4B_YEAST
4932.YDR012W	sp|P49626|RL4B_YEAST
4932.YBR034C	sp|P38074|HMT1_YEAST
4932.YBR035C	sp|P38075|PDX3_YEAST
4932.YBR036C	sp|P35206|CSG2_YEAST
4932.YBR037C	sp|P23833|SCO1_YEAST
4932.YBR038W	sp|P14180|CHS2_YEAST
4932.YBR039W	sp|P38077|ATPG_YEAST
4932.YBR040W	sp|P38224|FIG1_YEAST
4932.YBR041W	sp|P38225|FAT1_YEAST
4932.YBR042C	sp|P38226|CST26_YEAST
4932.YBR044C	sp|P38228|TCM62_YEAST
4932.YBR046C	sp|P38230|QOR_YEAST
4932.YBR049C	sp|P21538|REB1_YEAST
4932.YBR052C	sp|P38234|RFS1_YEAST
4932.YBR053C	sp|P38235|YBQ3_YEAST
4932.YBR054W	sp|P38079|YRO2_YEAST
4932.YBR055C	sp|P19735|PRP6_YEAST
4932.YBR056W	sp|P38081|YBQ6_YEAST
4932.YBR057C	sp|P38236|MUM2_YEAST
4932.YBR058C	sp|P38237|UBP14_YEAST
4932.YBR058C-A	sp|Q3E790|TSC3_YEAST
4932.YBR059C	sp|P38080|AKL1_YEAST
4932.YBR060C	sp|P32833|ORC2_YEAST
4932.YBR061C	sp|P38238|TRM7_YEAST
4932.YBR065C	sp|P38241|SLT11_YEAST
4932.YBR068C	sp|P38084|BAP2_YEAST
4932.YBR069C	sp|P38085|TAT1_YEAST
4932.YBR070C	sp|P38242|ALG14_YEAST
4932.YBR072W	sp|P15992|HSP26_YEAST
4932.YBR073W	sp|P38086|RDH54_YEAST
4932.YBR074W	sp|P38244|M28P1_YEAST
4932.YBR077C	sp|P38247|SLM4_YEAST
4932.YBR078W	sp|P38248|ECM33_YEAST
4932.YBR079C	sp|P38249|EIF3A_YEAST
4932.YBR080C	sp|P18759|SEC18_YEAST
4932.YBR081C	sp|P35177|SPT7_YEAST
4932.YBR082C	sp|P15732|UBC5_YEAST
4932.YDR059C	sp|P15732|UBC5_YEAST
4932.YBR083W	sp|P18412|TEC1_YEAST
4932.YBR084C-A	sp|P05735|RL19A_YEAST
4932.YBR084W	sp|P09440|C1TM_YEAST
4932.YBR085C-A	sp|O43137|YB085_YEAST
4932.YBR085W	sp|P18238|ADT3_YEAST
4932.YBR086C	sp|P38250|IST2_YEAST
4932.YBR087W	sp|P38251|RFC5_YEAST
4932.YBR088C	sp|P15873|PCNA_YEAST
4932.YBR089C-A	sp|P11633|NHP6B_YEAST
4932.YBR091C	sp|P32830|TIM12_YEAST
4932.YBR092C	sp|P24031|PPA3_YEAST
4932.YBR093C	sp|P00635|PPA5_YEAST
4932.YBR094W	sp|P38254|TTL_YEAST
4932.YBR095C	sp|P38255|RXT2_YEAST
4932.YBR096W	sp|P38256|YBU6_YEAST
4932.YBR098W	sp|P38257|MMS4_YEAST
4932.YBR101C	sp|P38260|FES1_YEAST
4932.YBR102C	sp|P38261|EXO84_YEAST
4932.YBR103W	sp|P38262|SIF2_YEAST
4932.YBR104W	sp|P38087|YMC2_YEAST
4932.YBR106W	sp|P38264|PHO88_YEAST
4932.YBR107C	sp|P38265|IML3_YEAST
4932.YBR108W	sp|P38266|AIM3_YEAST
4932.YBR109C	sp|P06787|CALM_YEAST
4932.YBR110W	sp|P16661|ALG1_YEAST
4932.YBR111C	sp|Q01976|ADPP_YEAST
4932.YBR111W-A	sp|Q6WNK7|SUS1_YEAST
4932.YBR112C	sp|P14922|CYC8_YEAST
4932.YBR114W	sp|P31244|RAD16_YEAST
4932.YBR115C	sp|P07702|LYS2_YEAST
4932.YBR117C	sp|P33315|TKT2_YEAST
4932.YBR120C	sp|P07253|CBP6_YEAST
4932.YBR121C	sp|P38088|SYG_YEAST
4932.YBR122C	sp|P36531|RM36_YEAST
4932.YBR123C	sp|P32367|TFC1_YEAST
4932.YBR125C	sp|P38089|PP2C4_YEAST
4932.YBR126C	sp|Q00764|TPS1_YEAST
4932.YBR126W-A	sp|Q8TGU7|YB126_YEAST
4932.YBR127C	sp|P16140|VATB_YEAST
4932.YBR129C	sp|P38271|OPY1_YEAST
4932.YBR130C	sp|P38272|SHE3_YEAST
4932.YBR133C	sp|P38274|HSL7_YEAST
4932.YBR135W	sp|P20486|CKS1_YEAST
4932.YBR136W	sp|P38111|ATR_YEAST
4932.YBR137W	sp|P38276|YBY7_YEAST
4932.YBR139W	sp|P38109|YBY9_YEAST
4932.YBR140C	sp|P18963|IRA1_YEAST
4932.YBR142W	sp|P38112|MAK5_YEAST
4932.YBR143C	sp|P12385|ERF1_YEAST
4932.YBR145W	sp|P38113|ADH5_YEAST
4932.YBR146W	sp|P38120|RT09_YEAST
4932.YBR149W	sp|P38115|ARA1_YEAST
4932.YBR150C	sp|P38114|TBS1_YEAST
4932.YBR151W	sp|P38281|APD1_YEAST
4932.YBR152W	sp|P38282|SP381_YEAST
4932.YBR153W	sp|P33312|RIB7_YEAST
4932.YBR154C	sp|P20434|RPAB1_YEAST
4932.YBR155W	sp|P33313|CNS1_YEAST
4932.YBR159W	sp|P38286|MKAR_YEAST
4932.YBR160W	sp|P00546|CDK1_YEAST
4932.YBR162C	sp|P38288|TOS1_YEAST
4932.YBR164C	sp|P38116|ARL1_YEAST
4932.YBR166C	sp|P20049|TYR1_YEAST
4932.YBR169C	sp|P32590|HSP79_YEAST
4932.YBR170C	sp|P33755|NPL4_YEAST
4932.YBR171W	sp|P33754|SEC66_YEAST
4932.YBR172C	sp|P32909|SMY2_YEAST
4932.YBR173C	sp|P38293|UMP1_YEAST
4932.YBR175W	sp|P38123|SWD3_YEAST
4932.YBR176W	sp|P38122|PANB_YEAST
4932.YBR177C	sp|P38295|MCFS2_YEAST
4932.YBR179C	sp|P38297|FZO1_YEAST
4932.YBR183W	sp|P38298|YPC1_YEAST
4932.YBR185C	sp|P38300|MBA1_YEAST
4932.YBR187W	sp|P38301|GDT1_YEAST
4932.YBR189W	sp|P05755|RS9B_YEAST
4932.YPL081W	sp|P05755|RS9B_YEAST
4932.YBR191W	sp|Q12672|RL21B_YEAST
4932.YPL079W	sp|Q12672|RL21B_YEAST
4932.YBR192W	sp|P38127|RIM2_YEAST
4932.YBR193C	sp|P38304|MED8_YEAST
4932.YBR194W	sp|P38305|AIM4_YEAST
4932.YBR195C	sp|P13712|MSI1_YEAST
4932.YBR196C	sp|P12709|G6PI_YEAST
4932.YBR198C	sp|P38129|TAF5_YEAST
4932.YBR199W	sp|P38131|KTR4_YEAST
4932.YBR200W	sp|P29366|BEM1_YEAST
4932.YBR202W	sp|P38132|MCM7_YEAST
4932.YBR204C	sp|P38139|LDH1_YEAST
4932.YBR205W	sp|P38130|KTR3_YEAST
4932.YBR207W	sp|P38310|FTH1_YEAST
4932.YBR208C	sp|P32528|DUR1_YEAST
4932.YBR210W	sp|P38312|ERV15_YEAST
4932.YBR211C	sp|P38313|AME1_YEAST
4932.YBR212W	sp|P32831|NGR1_YEAST
4932.YBR213W	sp|P15807|MET8_YEAST
4932.YBR214W	sp|P38314|SDS24_YEAST
4932.YBR215W	sp|Q01448|HPC2_YEAST
4932.YBR216C	sp|P38315|YBP1_YEAST
4932.YBR218C	sp|P32327|PYC2_YEAST
4932.YGL062W	sp|P32327|PYC2_YEAST
4932.YBR221C	sp|P32473|ODPB_YEAST
4932.YBR222C	sp|P38137|FAT2_YEAST
4932.YBR227C	sp|P38323|MCX1_YEAST
4932.YBR229C	sp|P38138|GLU2A_YEAST
4932.YBR230C	sp|P38325|OM14_YEAST
4932.YBR231C	sp|P38326|SWC5_YEAST
4932.YBR233W	sp|P38151|PBP2_YEAST
4932.YBR233W-A	sp|P69850|DAD3_YEAST
4932.YBR234C	sp|P38328|ARPC1_YEAST
4932.YBR236C	sp|P32783|MCES_YEAST
4932.YBR239C	sp|P38140|ERT1_YEAST
4932.YBR241C	sp|P38142|YB91_YEAST
4932.YBR242W	sp|P38331|YB92_YEAST
4932.YBR244W	sp|P38143|GPX2_YEAST
4932.YBR245C	sp|P38144|ISW1_YEAST
4932.YBR246W	sp|P38332|WDR85_YEAST
4932.YBR247C	sp|P38333|ENP1_YEAST
4932.YBR248C	sp|P33734|HIS5_YEAST
4932.YBR249C	sp|P32449|AROG_YEAST
4932.YBR251W	sp|P33759|RT05_YEAST
4932.YBR252W	sp|P33317|DUT_YEAST
4932.YBR253W	sp|P32570|MED22_YEAST
4932.YBR255C-A	sp|Q3E776|YB255_YEAST
4932.YBR256C	sp|P38145|RISA_YEAST
4932.YBR258C	sp|P38337|SHG1_YEAST
4932.YBR260C	sp|P38339|RGD1_YEAST
4932.YBR261C	sp|P38340|NTM1_YEAST
4932.YBR262C	sp|P38341|AIM5_YEAST
4932.YBR263W	sp|P37292|GLYM_YEAST
4932.YBR264C	sp|P38146|YPT10_YEAST
4932.YBR265W	sp|P38342|TSC10_YEAST
4932.YBR267W	sp|P38344|REI1_YEAST
4932.YBR268W	sp|P36532|RM37_YEAST
4932.YBR269C	sp|P38345|FMP21_YEAST
4932.YBR272C	sp|P38348|HSM3_YEAST
4932.YBR273C	sp|P38349|UBX7_YEAST
4932.YBR274W	sp|P38147|CHK1_YEAST
4932.YBR275C	sp|P29539|RIF1_YEAST
4932.YBR276C	sp|P38148|PPS1_YEAST
4932.YBR278W	sp|P27344|DPB3_YEAST
4932.YBR279W	sp|P38351|PAF1_YEAST
4932.YBR281C	sp|P38149|DUG2_YEAST
4932.YBR282W	sp|P36526|RM27_YEAST
4932.YBR283C	sp|P38353|SSH1_YEAST
4932.YBR286W	sp|P37302|APE3_YEAST
4932.YBR287W	sp|P38355|YB8B_YEAST
4932.YBR288C	sp|P38153|AP3M_YEAST
4932.YBR289W	sp|P18480|SNF5_YEAST
4932.YBR291C	sp|P38152|TXTP_YEAST
4932.YCL001W	sp|P25560|RER1_YEAST
4932.YCL005W-A	sp|Q3E7B6|VA0E_YEAST
4932.YCL009C	sp|P25605|ILV6_YEAST
4932.YCL010C	sp|P25554|SGF29_YEAST
4932.YCL011C	sp|P25555|GBP2_YEAST
4932.YCL012C	sp|Q8J0M4|YCB2_YEAST
4932.YCL014W	sp|P25558|BUD3_YEAST
4932.YCL016C	sp|P25559|DCC1_YEAST
4932.YCL017C	sp|P25374|NFS1_YEAST
4932.YCL018W	sp|P04173|LEU3_YEAST
4932.YCL020W	sp|Q99303|YD23A_YEAST
4932.YDR210W-A	sp|Q99303|YD23A_YEAST
4932.YDR261W-A	sp|Q99303|YD23A_YEAST
4932.YGR161W-A	sp|Q99303|YD23A_YEAST
4932.YLR410W-A	sp|Q99303|YD23A_YEAST
4932.YCL024W	sp|P25389|KCC4_YEAST
4932.YCL025C	sp|P25376|AGP1_YEAST
4932.YCL026C-B	sp|Q96VH4|HBN1_YEAST
4932.YCL027W	sp|P11710|FUS1_YEAST
4932.YCL029C	sp|P11709|BIK1_YEAST
4932.YCL030C	sp|P00815|HIS2_YEAST
4932.YCL031C	sp|P25368|RRP7_YEAST
4932.YCL032W	sp|P25344|STE50_YEAST
4932.YCL033C	sp|P25566|MXR2_YEAST
4932.YCL034W	sp|P25369|LSB5_YEAST
4932.YCL035C	sp|P25373|GLRX1_YEAST
4932.YCL037C	sp|P25567|SRO9_YEAST
4932.YCL039W	sp|P25569|GID7_YEAST
4932.YCL040W	sp|P17709|HXKG_YEAST
4932.YCL043C	sp|P17967|PDI_YEAST
4932.YCL044C	sp|P25573|MGR1_YEAST
4932.YCL045C	sp|P25574|EMC1_YEAST
4932.YCL049C	sp|P25577|YCE9_YEAST
4932.YCL050C	sp|P16550|APA1_YEAST
4932.YCL054W	sp|P25582|SPB1_YEAST
4932.YCL055W	sp|P25583|KAR4_YEAST
4932.YCL057C-A	sp|Q96VH5|MOS1_YEAST
4932.YCL057W	sp|P25375|PRTD_YEAST
4932.YCL059C	sp|P25586|KRR1_YEAST
4932.YCL061C	sp|P25588|MRC1_YEAST
4932.YCL064C	sp|P25379|STDH_YEAST
4932.YCR002C	sp|P25342|CDC10_YEAST
4932.YCR003W	sp|P25348|RM32_YEAST
4932.YCR004C	sp|P25349|YCP4_YEAST
4932.YCR005C	sp|P08679|CISY2_YEAST
4932.YCR009C	sp|P25343|RV161_YEAST
4932.YCR010C	sp|P25613|ADY2_YEAST
4932.YCR011C	sp|P25371|ADP1_YEAST
4932.YCR012W	sp|P00560|PGK_YEAST
4932.YCR014C	sp|P25615|DPO4_YEAST
4932.YCR015C	sp|P25616|YCQ5_YEAST
4932.YCR016W	sp|P25617|YCQ6_YEAST
4932.YCR017C	sp|P25618|CWH43_YEAST
4932.YCR020W-B	sp|Q9URQ5|HTL1_YEAST
4932.YCR021C	sp|P25619|HSP30_YEAST
4932.YCR023C	sp|P25351|YCR3_YEAST
4932.YCR024C	sp|P25345|SYNM_YEAST
4932.YCR026C	sp|P25353|NPP1_YEAST
4932.YCR027C	sp|P25378|RHEB_YEAST
4932.YCR028C-A	sp|P32445|RIM1_YEAST
4932.YCR030C	sp|P25623|SYP1_YEAST
4932.YCR031C	sp|P39516|RS14B_YEAST
4932.YJL191W	sp|P39516|RS14B_YEAST
4932.YCR033W	sp|P25357|SNT1_YEAST
4932.YCR034W	sp|P25358|ELO2_YEAST
4932.YCR035C	sp|P25359|RRP43_YEAST
4932.YCR036W	sp|P25332|RBSK_YEAST
4932.YCR037C	sp|P25360|PHO87_YEAST
4932.YCR042C	sp|P23255|TAF2_YEAST
4932.YCR044C	sp|P25625|PER1_YEAST
4932.YCR046C	sp|P25626|IMG1_YEAST
4932.YCR047C	sp|P25627|BUD23_YEAST
4932.YCR051W	sp|P25631|YCU1_YEAST
4932.YCR052W	sp|P25632|RSC6_YEAST
4932.YCR053W	sp|P16120|THRC_YEAST
4932.YCR054C	sp|P25355|CTR86_YEAST
4932.YCR057C	sp|P25635|PWP2_YEAST
4932.YCR059C	sp|P25637|YIH1_YEAST
4932.YCR060W	sp|P25638|TAH1_YEAST
4932.YCR061W	sp|P25639|YCV1_YEAST
4932.YCR066W	sp|P10862|RAD18_YEAST
4932.YCR067C	sp|P25365|SED4_YEAST
4932.YCR071C	sp|P25642|IMG2_YEAST
4932.YCR072C	sp|P25382|NLE1_YEAST
4932.YCR073W-A	sp|P37262|SOL2_YEAST
4932.YCR075W-A	sp|Q3E830|YC075_YEAST
4932.YCR077C	sp|P25644|PAT1_YEAST
4932.YCR081W	sp|P25648|SRB8_YEAST
4932.YCR083W	sp|P25372|TRX3_YEAST
4932.YCR084C	sp|P16649|TUP1_YEAST
4932.YCR086W	sp|P25651|CSM1_YEAST
4932.YCR087C-A	sp|P37263|YC16_YEAST
4932.YCR088W	sp|P15891|ABP1_YEAST
4932.YCR090C	sp|P25654|YCY0_YEAST
4932.YCR092C	sp|P25336|MSH3_YEAST
4932.YCR093W	sp|P25655|NOT1_YEAST
4932.YCR094W	sp|P25656|CDC50_YEAST
4932.YCR095C	sp|P25366|OCA4_YEAST
4932.YCR102C	sp|P54007|YL460_YEAST
4932.YLR460C	sp|P54007|YL460_YEAST
4932.YDL001W	sp|Q03441|RMD1_YEAST
4932.YDL002C	sp|Q03435|NHP10_YEAST
4932.YDL003W	sp|Q12158|SCC1_YEAST
4932.YDL004W	sp|Q12165|ATPD_YEAST
4932.YDL005C	sp|Q12124|MED2_YEAST
4932.YDL006W	sp|P35182|PP2C1_YEAST
4932.YDL007W	sp|P40327|PRS4_YEAST
4932.YDL010W	sp|Q12438|GLRX6_YEAST
4932.YBR014C	sp|Q12438|GLRX6_YEAST
4932.YDL012C	sp|Q12489|YD012_YEAST
4932.YDL013W	sp|P32828|SLX5_YEAST
4932.YDL014W	sp|P15646|FBRL_YEAST
4932.YDL015C	sp|Q99190|TSC13_YEAST
4932.YDL017W	sp|P06243|CDC7_YEAST
4932.YDL018C	sp|Q12403|ERP3_YEAST
4932.YDL019C	sp|Q12451|OSH2_YEAST
4932.YDL021W	sp|Q12008|PMG2_YEAST
4932.YDL022W	sp|Q00055|GPD1_YEAST
4932.YDL025C	sp|Q12100|RTK1_YEAST
4932.YDL027C	sp|Q07349|YD027_YEAST
4932.YDL028C	sp|P54199|MPS1_YEAST
4932.YDL029W	sp|P32381|ARP2_YEAST
4932.YDL031W	sp|Q12389|DBP10_YEAST
4932.YDL033C	sp|Q12093|MTU1_YEAST
4932.YDL040C	sp|P12945|NAT1_YEAST
4932.YDL042C	sp|P06700|SIR2_YEAST
4932.YDL043C	sp|Q07350|PRP11_YEAST
4932.YDL044C	sp|P10849|MTF2_YEAST
4932.YDL045C	sp|P38913|FAD1_YEAST
4932.YDL045W-A	sp|O75012|MRP10_YEAST
4932.YDL046W	sp|Q12408|NPC2_YEAST
4932.YDL047W	sp|P20604|PP11_YEAST
4932.YDL048C	sp|Q07351|STP4_YEAST
4932.YDL051W	sp|P33399|LHP1_YEAST
4932.YDL052C	sp|P33333|PLSC_YEAST
4932.YDL053C	sp|Q07362|PBP4_YEAST
4932.YDL055C	sp|P41940|MPG1_YEAST
4932.YDL056W	sp|P39678|MBP1_YEAST
4932.YDL057W	sp|Q07379|YD057_YEAST
4932.YDL058W	sp|P25386|USO1_YEAST
4932.YDL059C	sp|Q12223|RAD59_YEAST
4932.YDL060W	sp|Q07381|TSR1_YEAST
4932.YDL061C	sp|P41058|RS29B_YEAST
4932.YLR388W	sp|P41058|RS29B_YEAST
4932.YDL063C	sp|Q07395|SYO1_YEAST
4932.YDL064W	sp|P50623|UBC9_YEAST
4932.YDL065C	sp|Q07418|PEX19_YEAST
4932.YDL066W	sp|P21954|IDHP_YEAST
