string_id	all amino-acids	SUM(r_k*ln(r_k)) --> -H(amino-acids)	SUM(r_k*e_k)	ln(p)	cost_protein (5*n(aa))	decay	protein term (cost protein * decay)
4932.YBL008W	840.0	-2.85732112884	138.392857143	-12.3939887469	4200.0	49	205800.0
4932.YBL011W	759.0	-2.87126022985	132.010540184	-9.4707585282	3795.0	205	777975.0
4932.YBL014C	894.0	-2.8443126879	132.62639821	-13.4217769867	4470.0	33	147510.0
4932.YBL015W	526.0	-2.88730974506	133.802281369	-8.78075321291	2630.0	6	15780.0
4932.YBL016W	353.0	-2.89502824262	143.909348442	-9.42649184695	1765.0	43	75895.0
4932.YBL017C	1579.0	-2.88046758118	143.250791641	-8.05527268515	7895.0	30	236850.0
4932.YBL019W	520.0	-2.87530149992	142.351923077	-14.8974256265	2600.0	40	104000.0
4932.YBL023C	868.0	-2.83795221859	122.046082949	-9.59600895953	4340.0	124	538160.0
4932.YBL024W	684.0	-2.88219933333	146.321637426	-7.70652774884	3420.0	36	123120.0
4932.YBL025W	145.0	-2.85275617135	139.489655172	-15.059268701	725.0	411	297975.0
4932.YBL026W	95.0	-2.7572339231	135.652631579	-9.71400938195	475.0	31	14725.0
4932.YBL027W	189.0	-2.64388941141	127.465608465	-6.96685313582	945.0	48	45360.0
4932.YBL029C-A	94.0	-2.85026869253	195.361702128	-11.6707340652	470.0	12	5640.0
4932.YBL032W	381.0	-2.77088303864	110.335958005	-8.57043583529	1905.0	-283	-539115.0
4932.YBL033C	345.0	-2.86690501859	135.63768116	-9.68741451372	1725.0	-497	-857325.0
4932.YBL034C	1513.0	-2.80610993269	140.050231329	-12.4550685765	7565.0	100	756500.0
4932.YBL035C	705.0	-2.83840597785	121.319148936	-10.5814551832	3525.0	52	183300.0
4932.YBL036C	257.0	-2.84738455315	137.828793774	-9.76041222607	1285.0	-80	-102800.0
4932.YBL037W	1025.0	-2.81643182299	126.381463415	-9.88965524287	5125.0	47	240875.0
4932.YBL039C	579.0	-2.87256248752	140.409326425	-7.75584873211	2895.0	389	1126155.0
4932.YBL040C	219.0	-2.7777377408	156.639269406	-8.80804161409	1095.0	96	105120.0
4932.YBL042C	639.0	-2.86331983441	148.325508607	-8.70694108493	3195.0	-526	-1680570.0
4932.YBL045C	457.0	-2.80483615741	123.264770241	-7.91964405369	2285.0	291	664935.0
4932.YBL046W	441.0	-2.80071383298	143.070294785	-10.6758891698	2205.0	65	143325.0
4932.YBL047C	1381.0	-2.77519715296	113.155684287	-7.06422461365	6905.0	74	510970.0
4932.YBL051C	668.0	-2.73313764198	123.72754491	-9.59243754983	3340.0	20	66800.0
4932.YBL054W	525.0	-2.81554313537	143.215238095	-12.8088930501	2625.0	18	47250.0
4932.YBL055C	418.0	-2.88557931611	147.514354067	-11.5019095735	2090.0	58	121220.0
4932.YBL056W	468.0	-2.83018409405	139.98931624	-8.77576369208	2340.0	54	126360.0
4932.YBL057C	214.0	-2.83034097645	133.579439252	-12.3245564075	1070.0	34	36380.0
4932.YBL058W	423.0	-2.84088709337	120.903073286	-9.09731295138	2115.0	62	131130.0
4932.YBL059C-A	109.0	-2.71318456121	167.293577982	-11.6145095603	545.0	58	31610.0
4932.YBL059W	193.0	-2.86183389463	154.81865285	-14.1373441292	965.0	71	68515.0
4932.YBL061C	696.0	-2.83314338334	133.084770115	-9.72033265795	3480.0	10	34800.0
4932.YBL064C	261.0	-2.84306147436	131.896551724	-9.88503571378	1305.0	117	152685.0
4932.YBL067C	747.0	-2.84427659544	138.540829987	-12.4839353831	3735.0	32	119520.0
4932.YBL068W	327.0	-2.83015064388	124.003058104	-9.92777862918	1635.0	116	189660.0
4932.YBL069W	429.0	-2.87743737998	145.993006993	-11.4498418587	2145.0	6	12870.0
4932.YBL075C	649.0	-2.79661154723	107.816640986	-7.60733577342	3245.0	59	191455.0
4932.YBL076C	1072.0	-2.87252322623	142.409514925	-5.79243776769	5360.0	88	471680.0
4932.YBL078C	117.0	-2.7988723303	130.709401709	-12.8772966199	585.0	289	169065.0
4932.YBL079W	1502.0	-2.84959435267	129.336218375	-8.848678351	7510.0	20	150200.0
4932.YBL082C	458.0	-2.86696849638	163.92139738	-14.3439669556	2290.0	30	68700.0
4932.YBL084C	758.0	-2.82834282888	147.948548813	-10.9258420053	3790.0	3	11370.0
4932.YBL085W	980.0	-2.79601961927	130.119387755	-9.92370915361	4900.0	3	14700.0
4932.YBL086C	466.0	-2.81846952269	139.495708154	-11.6952803991	2330.0	32	74560.0
4932.YBL090W	177.0	-2.75265521914	129.581920904	-13.9145326011	885.0	66	58410.0
4932.YBL091C	421.0	-2.87277375324	138.591448931	-9.39642043854	2105.0	36	75780.0
4932.YBL091C-A	175.0	-2.83401818323	125.0	-15.3038159327	875.0	15	13125.0
4932.YBL093C	220.0	-2.84614148642	133.718181818	-11.670525639	1100.0	123	135300.0
4932.YBL095W	270.0	-2.86975210737	144.170370371	-13.6120030575	1350.0	46	62100.0
4932.YBL097W	754.0	-2.81206949964	135.281167109	-11.4390536175	3770.0	3	11310.0
4932.YBL098W	460.0	-2.87354450748	143.789130435	-11.7432994434	2300.0	175	402500.0
4932.YBL099W	545.0	-2.75044914386	97.5431192661	-6.69800486117	2725.0	49	133525.0
4932.YBL101C	1117.0	-2.82142467352	121.842435094	-9.89512722577	5585.0	68	379780.0
4932.YBL103C	486.0	-2.80252163993	128.633744856	-11.1135120678	2430.0	36	87480.0
4932.YBR001C	780.0	-2.89667648282	143.542307692	-12.4713103507	3900.0	29	113100.0
4932.YBR003W	473.0	-2.83031900113	123.754756871	-10.1997510679	2365.0	64	151360.0
4932.YBR006W	497.0	-2.85433552513	129.486921529	-10.9876777633	2485.0	31	77035.0
4932.YBR009C	103.0	-2.61032374523	109.572815534	-7.71408540344	515.0	62	31930.0
4932.YBR010W	136.0	-2.66489733203	108.448529412	-7.90675524078	680.0	-814	-553520.0
4932.YBR011C	287.0	-2.83084140874	138.2543554	-7.06983884953	1435.0	883	1267105.0
4932.YBR015C	597.0	-2.8403970622	140.703517588	-9.46541571146	2985.0	15	44775.0
4932.YBR016W	128.0	-2.50080083916	170.1796875	-11.9709869353	640.0	98	62720.0
4932.YBR017C	918.0	-2.86415641442	138.913943355	-8.66663470931	4590.0	41	188190.0
4932.YBR022W	177.0	-2.83324344215	154.988700565	-13.1258082205	885.0	65	57525.0
4932.YBR023C	1165.0	-2.90453019126	149.003433477	-9.30912904994	5825.0	49	285425.0
4932.YBR024W	301.0	-2.85344451013	139.820598007	-12.8017219773	1505.0	13	19565.0
4932.YBR025C	394.0	-2.84798819259	129.939086294	-6.62843279056	1970.0	136	267920.0
4932.YBR026C	380.0	-2.82402744486	132.684210526	-10.3847671158	1900.0	23	43700.0
4932.YBR030W	552.0	-2.83218344227	141.365942029	-11.8819482205	2760.0	37	102120.0
4932.YBR034C	348.0	-2.87769825604	148.198275862	-8.87581905934	1740.0	43	74820.0
4932.YBR036C	410.0	-2.84396717733	138.048780488	-9.23651433932	2050.0	31	63550.0
4932.YBR037C	295.0	-2.84642404806	130.789830508	-11.5635055999	1475.0	74	109150.0
4932.YBR039W	311.0	-2.80660318405	124.090032155	-8.06412802692	1555.0	-169	-262795.0
4932.YBR046C	334.0	-2.78358572795	120.008982036	-10.2889505818	1670.0	2	3340.0
4932.YBR048W	156.0	-2.79962378283	143.5	-6.77830238864	780.0	19	14820.0
4932.YBR049C	810.0	-2.78935352034	146.890123457	-8.00124518508	4050.0	12	48600.0
4932.YBR052C	210.0	-2.83595211167	138.519047619	-9.48784287819	1050.0	-551	-578550.0
4932.YBR053C	358.0	-2.86895461193	148.081005587	-11.1912202453	1790.0	20	35800.0
4932.YBR054W	344.0	-2.87732220208	148.898255814	-8.66119919696	1720.0	83	142760.0
4932.YBR055C	899.0	-2.85321775242	141.65294772	-9.97271105741	4495.0	2	8990.0
4932.YBR056W	501.0	-2.895763939	166.908183633	-10.8723407416	2505.0	3	7515.0
4932.YBR057C	366.0	-2.76705326631	144.459016393	-12.0439847874	1830.0	40	73200.0
4932.YBR058C	781.0	-2.89022102154	155.311139565	-10.7559055512	3905.0	39	152295.0
4932.YBR059C	1108.0	-2.83003804004	128.88267148	-8.85285441739	5540.0	131	725740.0
4932.YBR060C	620.0	-2.84831049754	136.787096774	-12.695911586	3100.0	25	77500.0
4932.YBR061C	310.0	-2.85444001016	140.509677419	-11.137056973	1550.0	39	60450.0
4932.YBR065C	364.0	-2.80671418217	144.832417583	-12.6884582078	1820.0	41	74620.0
4932.YBR068C	609.0	-2.86930519492	138.513957307	-7.11645157617	3045.0	18	54810.0
4932.YBR069C	619.0	-2.87567017717	140.153473344	-8.24574396395	3095.0	42	129990.0
4932.YBR070C	237.0	-2.83479175782	145.649789029	-11.606501177	1185.0	43	50955.0
4932.YBR072W	214.0	-2.78116953421	121.771028038	-8.11511408837	1070.0	-113	-120910.0
4932.YBR073W	924.0	-2.85478075649	136.995670996	-10.6197764805	4620.0	30	138600.0
4932.YBR077C	162.0	-2.81031340444	146.598765432	-10.9094263747	810.0	539	436590.0
4932.YBR080C	758.0	-2.83973234027	119.085751979	-8.61864335256	3790.0	37	140230.0
4932.YBR081C	1332.0	-2.794377682	132.718468469	-9.49211151915	6660.0	193	1285380.0
4932.YBR082C	148.0	-2.83441715537	147.027027027	-7.71172983662	740.0	12	8880.0
4932.YBR084C-A	189.0	-2.64388941141	127.465608466	-7.16114243059	945.0	985	930825.0
4932.YBR084W	975.0	-2.84104430827	120.662564103	-8.00935883384	4875.0	73	355875.0
4932.YBR085W	307.0	-2.77791775848	128.198697069	-10.1321456898	1535.0	21	32235.0
4932.YBR086C	946.0	-2.82772834702	136.816067653	-8.89471466044	4730.0	482	2279860.0
4932.YBR087W	354.0	-2.81792999582	136.937853107	-10.703646357	1770.0	138	244260.0
4932.YBR089C-A	99.0	-2.68144643448	129.909090909	-10.1786386378	495.0	103	50985.0
4932.YBR092C	467.0	-2.87876314327	145.518201285	-9.15362958794	2335.0	9	21015.0
4932.YBR093C	467.0	-2.88446686012	151.09850107	-10.3388261323	2335.0	18	42030.0
4932.YBR094W	753.0	-2.87458814554	144.96812749	-10.1944280322	3765.0	2	7530.0
4932.YBR095C	430.0	-2.75314501595	112.13255814	-11.127318737	2150.0	72	154800.0
4932.YBR096W	230.0	-2.84744561998	170.8	-10.638129354	1150.0	32	36800.0
4932.YBR101C	290.0	-2.78050581208	125.982758621	-8.86124674058	1450.0	154	223300.0
4932.YBR103W	535.0	-2.84309223108	136.338317757	-9.79857312971	2675.0	39	104325.0
4932.YBR104W	329.0	-2.84027383169	122.802431611	-12.9859200304	1645.0	16	26320.0
4932.YBR106W	188.0	-2.8472378342	146.856382978	-8.00477094274	940.0	101	94940.0
4932.YBR111C	231.0	-2.86413169458	133.835497836	-9.20752251296	1155.0	194	224070.0
4932.YBR112C	966.0	-2.72187238465	125.199792961	-8.95803315844	4830.0	13	62790.0
4932.YBR114W	790.0	-2.89568603951	148.978481013	-13.1345958823	3950.0	33	130350.0
4932.YBR115C	1392.0	-2.87548357926	130.09841954	-6.29856178464	6960.0	117	814320.0
4932.YBR118W	458.0	-2.83825910324	133.176855895	-4.20007406964	2290.0	30	68700.0
4932.YBR120C	162.0	-2.78794742266	130.888888889	-10.6044627106	810.0	935	757350.0
4932.YBR121C	667.0	-2.85129137995	130.47976012	-6.47480705334	3335.0	44	146740.0
4932.YBR122C	177.0	-2.75361536563	122.502824859	-10.7151797992	885.0	28	24780.0
4932.YBR123C	649.0	-2.8354509274	131.942989214	-10.1144352529	3245.0	22	71390.0
4932.YBR125C	393.0	-2.88335444041	143.837150127	-12.9785106167	1965.0	62	121830.0
4932.YBR126C	495.0	-2.88356800753	143.187878788	-7.44675949996	2475.0	-70	-173250.0
4932.YBR127C	517.0	-2.83365650563	113.531914894	-6.55494636832	2585.0	29	74965.0
4932.YBR129C	328.0	-2.88042040402	157.618902439	-12.3768684	1640.0	9	14760.0
4932.YBR130C	425.0	-2.66006817764	128.545882353	-9.7536417669	2125.0	70	148750.0
4932.YBR133C	827.0	-2.87324338404	145.297460701	-12.1039292237	4135.0	14	57890.0
4932.YBR135W	150.0	-2.8180674945	159.52	-10.636360805	750.0	52	39000.0
4932.YBR137W	179.0	-2.85068831131	142.474860335	-11.2797899171	895.0	16	14320.0
4932.YBR139W	508.0	-2.9118146453	152.322834646	-11.5418860465	2540.0	18	45720.0
4932.YBR142W	773.0	-2.80274693858	127.262613195	-9.55943704055	3865.0	127	490855.0
4932.YBR143C	437.0	-2.81325366137	124.400457666	-7.15415550296	2185.0	62	135470.0
4932.YBR149W	344.0	-2.85356835283	133.450581396	-8.84813789674	1720.0	96	165120.0
4932.YBR150C	1094.0	-2.8522341871	147.255941499	-11.7248210705	5470.0	73	399310.0
4932.YBR151W	316.0	-2.89125486862	147.990506329	-9.83568241052	1580.0	55	86900.0
4932.YBR152W	291.0	-2.75367132698	138.859106529	-11.0997914029	1455.0	45	65475.0
4932.YBR155W	385.0	-2.80625434707	133.28051948	-9.50355767222	1925.0	33	63525.0
4932.YBR159W	347.0	-2.83894061451	127.567723343	-8.46319027924	1735.0	988	1714180.0
4932.YBR160W	298.0	-2.852680817	136.466442953	-9.16112703754	1490.0	-74	-110260.0
4932.YBR162C	455.0	-2.80043950254	133.41978022	-8.87668040713	2275.0	67	152425.0
4932.YBR164C	183.0	-2.80138100644	131.420765028	-10.0333302705	915.0	-120	-109800.0
4932.YBR166C	452.0	-2.87549888271	147.256637168	-9.97483441064	2260.0	79	178540.0
4932.YBR169C	693.0	-2.82885695219	122.484848486	-8.16949179185	3465.0	5252	18198180.0
4932.YBR170C	580.0	-2.90662340107	147.594827586	-9.55235249104	2900.0	29	84100.0
4932.YBR171W	206.0	-2.80817718632	141.796116504	-9.61623773805	1030.0	-3619	-3727570.0
4932.YBR172C	740.0	-2.78692129367	129.704054054	-9.26746665314	3700.0	19	70300.0
4932.YBR173C	148.0	-2.84796551692	136.141891892	-13.4581573933	740.0	17	12580.0
4932.YBR175W	315.0	-2.8783866424	159.295238094	-10.5129784547	1575.0	1181	1860075.0
4932.YBR176W	312.0	-2.86744688067	146.695512821	-13.1030254315	1560.0	118	184080.0
4932.YBR177C	451.0	-2.89611865658	141.299334811	-8.90915671995	2255.0	-779	-1756645.0
4932.YBR179C	855.0	-2.82390641373	131.831578947	-10.3836024233	4275.0	24	102600.0
4932.YBR185C	278.0	-2.84163380901	133.420863309	-10.7718614638	1390.0	187	259930.0
4932.YBR189W	195.0	-2.72844326046	110.369230769	-6.83808878196	975.0	29	28275.0
4932.YBR193C	223.0	-2.78259228453	125.96412556	-11.8405224401	1115.0	-1925	-2146375.0
4932.YBR194W	123.0	-2.76537933603	129.105691057	-13.5434459942	615.0	152	93480.0
4932.YBR195C	422.0	-2.8831317572	158.066350711	-11.96913826	2110.0	31	65410.0
4932.YBR196C	554.0	-2.83889571577	133.615523466	-5.11633654427	2770.0	540	1495800.0
4932.YBR198C	798.0	-2.87492333813	136.106516291	-9.2479990233	3990.0	21	83790.0
4932.YBR199W	464.0	-2.90199068012	160.422413793	-10.0528473092	2320.0	12	27840.0
4932.YBR200W	551.0	-2.8338190778	130.640653358	-9.94765823095	2755.0	19	52345.0
4932.YBR205W	404.0	-2.89855591768	168.685643564	-10.4015186582	2020.0	17	34340.0
4932.YBR207W	465.0	-2.83537867747	132.513978494	-9.57314969949	2325.0	60	139500.0
4932.YBR208C	1835.0	-2.87081609524	126.888283379	-8.4815516525	9175.0	45	412875.0
4932.YBR211C	324.0	-2.74979060983	125.845679012	-11.4047012929	1620.0	68	110160.0
4932.YBR212W	672.0	-2.83052269535	136.626488095	-9.74743020696	3360.0	28	94080.0
4932.YBR214W	527.0	-2.81546995522	123.95825427	-9.03289390155	2635.0	54	142290.0
4932.YBR215W	625.0	-2.68576048828	118.8096	-11.5284163988	3125.0	16	50000.0
4932.YBR216C	674.0	-2.81791755911	138.727002967	-10.115304507	3370.0	23	77510.0
4932.YBR218C	1180.0	-2.86841117012	123.781355932	-6.63574303005	5900.0	40	236000.0
4932.YBR221C	366.0	-2.80783159099	107.890710382	-8.02577946154	1830.0	72	131760.0
4932.YBR222C	543.0	-2.86409083991	129.5893186	-8.87471265903	2715.0	27	73305.0
4932.YBR227C	520.0	-2.80676286851	118.990384616	-10.0355389137	2600.0	83	215800.0
4932.YBR229C	954.0	-2.90357922958	152.266247379	-11.0861560779	4770.0	27	128790.0
4932.YBR230C	134.0	-2.76267138456	152.47761194	-10.280445994	670.0	-184	-123280.0
4932.YBR231C	303.0	-2.73573603245	116.369636964	-12.8474240284	1515.0	22	33330.0
4932.YBR233W	413.0	-2.83955118792	125.474576271	-13.0452224427	2065.0	36	74340.0
4932.YBR233W-A	94.0	-2.60642897173	127.989361702	-12.6917900733	470.0	228	107160.0
4932.YBR233W-A	94.0	-2.60642897173	127.989361702	-12.6917900733	470.0	228	107160.0
4932.YBR234C	384.0	-2.88330259839	152.078125	-8.88471399571	1920.0	66	126720.0
4932.YBR239C	529.0	-2.88325682419	154.790170133	-13.105949357	2645.0	16	42320.0
4932.YBR241C	488.0	-2.85474262119	137.221311475	-10.5604509377	2440.0	86	209840.0
4932.YBR242W	238.0	-2.87689193434	152.760504202	-11.3241855176	1190.0	33	39270.0
4932.YBR244W	162.0	-2.7374909618	144.018518518	-9.11584054856	810.0	168	136080.0
4932.YBR245C	1129.0	-2.84035338776	139.248007086	-8.36783133145	5645.0	37	208865.0
4932.YBR246W	387.0	-2.90114994333	156.994832041	-12.0657855392	1935.0	83	160605.0
4932.YBR247C	483.0	-2.83305685379	126.776397515	-9.28700858047	2415.0	35	84525.0
4932.YBR248C	552.0	-2.85660591539	128.992753623	-7.7574130293	2760.0	56	154560.0
4932.YBR249C	370.0	-2.84453866424	120.854054054	-6.78567473229	1850.0	71	131350.0
4932.YBR251W	307.0	-2.88050135221	139.885993485	-10.768699487	1535.0	201	308535.0
4932.YBR252W	147.0	-2.70777305936	98.0476190478	-10.3728940971	735.0	-84	-61740.0
4932.YBR253W	121.0	-2.7226959811	131.628099173	-11.4425514051	605.0	176	106480.0
4932.YBR256C	238.0	-2.80932705593	127.756302521	-10.1775138519	1190.0	280	333200.0
4932.YBR258C	142.0	-2.71116111466	132.471830986	-11.9270130255	710.0	45	31950.0
4932.YBR260C	666.0	-2.83212869788	133.966966967	-10.0430201512	3330.0	45	149850.0
4932.YBR261C	232.0	-2.88891447574	145.056034483	-11.0817858783	1160.0	-240	-278400.0
4932.YBR262C	106.0	-2.82940775562	169.235849056	-11.392318993	530.0	-127	-67310.0
4932.YBR263W	490.0	-2.86918372466	129.622448979	-7.9065281584	2450.0	43	105350.0
4932.YBR264C	199.0	-2.84121151174	132.502512563	-12.4615620544	995.0	57	56715.0
4932.YBR265W	320.0	-2.89185973525	143.653125	-9.65033838374	1600.0	206	329600.0
4932.YBR267W	393.0	-2.86343340767	148.155216285	-9.37860732703	1965.0	116	227940.0
4932.YBR268W	105.0	-2.79610239905	141.695238095	-11.5513514066	525.0	-477	-250425.0
4932.YBR272C	480.0	-2.78974562346	129.295833333	-11.487071933	2400.0	15	36000.0
4932.YBR273C	436.0	-2.83670793347	135.951834862	-11.6692139955	2180.0	47	102460.0
4932.YBR274W	527.0	-2.88449054233	144.612903226	-11.5892847772	2635.0	30	79050.0
4932.YBR278W	201.0	-2.6941107267	117.378109453	-12.5836178835	1005.0	1162	1167810.0
4932.YBR279W	445.0	-2.76910062011	132.982022472	-9.40628824043	2225.0	117	260325.0
4932.YBR281C	878.0	-2.84884973066	135.675398634	-10.0726138571	4390.0	56	245840.0
4932.YBR282W	146.0	-2.81669965128	142.075342465	-11.5230949984	730.0	132	96360.0
4932.YBR286W	537.0	-2.86348352931	137.046554935	-7.73319966191	2685.0	9	24165.0
4932.YBR287W	427.0	-2.79854540806	122.578454333	-10.2174330923	2135.0	29	61915.0
4932.YBR288C	483.0	-2.85845698726	137.921325052	-10.8214891097	2415.0	79	190785.0
4932.YBR289W	905.0	-2.76475898191	124.685082873	-10.7043245903	4525.0	3	13575.0
4932.YCL009C	309.0	-2.82364037834	123.631067961	-7.84357679282	1545.0	105	162225.0
4932.YCL010C	259.0	-2.8466521072	129.212355212	-10.7143788276	1295.0	42	54390.0
4932.YCL011C	427.0	-2.81726340878	126.583138173	-9.83053754106	2135.0	61	130235.0
4932.YCL014W	1636.0	-2.81218553076	129.351466993	-11.5228403998	8180.0	8	65440.0
4932.YCL016C	380.0	-2.87330638266	146.021052632	-12.8613210872	1900.0	63	119700.0
4932.YCL024W	1037.0	-2.79250562575	122.596914175	-12.477433786	5185.0	22	114070.0
4932.YCL025C	633.0	-2.87320313506	136.510268562	-7.34827314466	3165.0	19	60135.0
4932.YCL028W	405.0	-2.43339833818	122.688888889	-8.90594267529	2025.0	51	103275.0
4932.YCL029C	440.0	-2.84804606231	141.829545454	-13.4057976946	2200.0	77	169400.0
4932.YCL031C	297.0	-2.8452700242	150.838383839	-9.63245337633	1485.0	101	149985.0
4932.YCL032W	346.0	-2.85574549927	141.838150289	-12.9265373481	1730.0	39	67470.0
4932.YCL033C	168.0	-2.91443292677	179.160714286	-12.2013998689	840.0	-97	-81480.0
4932.YCL035C	110.0	-2.79050267739	130.3	-9.31970569876	550.0	-296	-162800.0
4932.YCL039W	745.0	-2.88246958612	145.801342283	-10.4166884522	3725.0	23	85675.0
4932.YCL040W	500.0	-2.86117624083	130.536	-7.63087190227	2500.0	142	355000.0
4932.YCL043C	522.0	-2.82287336092	129.873563218	-7.38277372388	2610.0	8	20880.0
4932.YCL044C	417.0	-2.83696813715	134.769784172	-12.2154327307	2085.0	99	206415.0
4932.YCL045C	760.0	-2.85700287276	143.85	-8.50611741141	3800.0	48	182400.0
4932.YCL049C	312.0	-2.88027676283	153.471153846	-13.6614536554	1560.0	19	29640.0
4932.YCL050C	321.0	-2.85335285165	144.619937695	-7.37048465293	1605.0	122	195810.0
4932.YCL055W	335.0	-2.9103696366	152.985074627	-10.7089299532	1675.0	17	28475.0
4932.YCL057W	712.0	-2.86447227672	146.948033708	-8.51992125055	3560.0	63	224280.0
4932.YCL059C	316.0	-2.83797543604	145.515822785	-9.51063133513	1580.0	191	301780.0
4932.YCL061C	1096.0	-2.76453962215	125.797445256	-12.3332293153	5480.0	98	537040.0
4932.YCL064C	360.0	-2.86133804372	131.441666667	-8.63953513053	1800.0	70	126000.0
4932.YCR003W	183.0	-2.84496392704	169.868852459	-10.5842616663	915.0	225	205875.0
4932.YCR005C	460.0	-2.83636381569	129.306521739	-9.81590080639	2300.0	30	69000.0
4932.YCR009C	265.0	-2.80706559301	127.954716981	-8.50075105933	1325.0	50	66250.0
4932.YCR011C	1049.0	-2.84708047483	135.367969495	-8.98892407866	5245.0	-482	-2528090.0
4932.YCR012W	416.0	-2.75606483382	109.615384616	-4.02984703932	2080.0	199	413920.0
4932.YCR016W	290.0	-2.69538322627	138.631034483	-10.4751633989	1450.0	68	98600.0
4932.YCR017C	953.0	-2.87831809056	145.126967471	-9.82210035298	4765.0	689	3283085.0
4932.YCR020W-B	78.0	-2.6252812333	144.474358974	-10.9159744556	390.0	30	11700.0
4932.YCR023C	611.0	-2.90295679392	143.412438625	-13.4321000108	3055.0	48	146640.0
4932.YCR024C	492.0	-2.89065620342	148.410569106	-13.4808022412	2460.0	27	66420.0
4932.YCR026C	742.0	-2.87080698296	143.043126685	-12.1493332833	3710.0	11	40810.0
4932.YCR027C	209.0	-2.83789838307	131.267942584	-11.857919484	1045.0	34	35530.0
4932.YCR030C	870.0	-2.8028206675	119.105747126	-8.83885142133	4350.0	-2326	-10118100.0
4932.YCR031C	137.0	-2.71403847602	104.810218978	-7.76902233609	685.0	40	27400.0
